name,description,voting,duration,view,status,genre,director,country,follower,quality,rating,studio,season,year,type
Gundam Build Divers Re:Rise,New Gundam Rebuild Divers loạt stream theo đường chính thức Gundam Channel.,0.94,26 tập,204300,Trọn bộ,"['Sci-Fi', 'Mecha', 'Action']",Watada Shinya,Nhật Bản,219,HD,G - Mọi lứa tuổi,"Sunrise, Asatsu DK",Mùa Thu,2019,Anime bộ
Stand My Heroes: Piece of Truth,"Lấy bối cảnh tại thành phố Tokyo thời kỳ hiện đại. Matori, đơn vị kiểm soát chất ma tuý của các nhà điều tra thuộc Bộ Y tế, Lao động và Phúc lợi. Nhân vật chính, người có đặc điểm độc đáo là kháng tác dụng của các loại thuốc. Khi kết thúc làm việc trong đơn vị cô thành lập các đội anh hùng Ikemen cho các nhiệm vụ đặc biệt. Các thành viên của đội đến từ các ngành nghề khác nhau như điều tra viên, idol, nhà văn, học sinh trung học thiên tài, nhà thiết kế hàng đầu, quản gia, và có cả bác sĩ ngầm.",0.94,12 tập,62562,Trọn bộ,"['Romance', 'Mystery', 'Josei']",Đang cập nhật,Nhật Bản,28,HD,Đang cập nhật,M.S.C,Mùa Thu,2019,Anime bộ
Rifle Is Beautiful,"Kokura Hikari là một nữ sinh trung học năm nhất yêu thích súng trường. Cô vào trường trung học Chidori vì nó có một câu lạc bộ bắn súng, nhưng thấy rằng câu lạc bộ đã bị giải tán. Cô chỉ có một ngày để tìm đủ thành viên để cải tổ câu lạc bộ, nhưng may mắn đã có thể tìm thấy ba cô gái năm thứ nhất khác mà cô đã gặp tại một cuộc thi ở trường trung học.Do đó, bắt đầu các hoạt động hàng ngày của Câu lạc bộ bắn súng Chidori.",0.8,12 tập,35387,Trọn bộ,"['School', 'Slice of Life', 'Comedy']",Takahashi Masanori,Nhật Bản,37,HD,Đang cập nhật,Studio 3Hz,Mùa Thu,2019,Anime bộ
Tenka Hyakken: Meiji-kan e Youkoso!,"Nhượng quyền Tenka Hyakken xoay quanh ""Mitsurugi"", những thiếu nữ là hóa thân của những thanh kiếm cổ xưa. Họ đã cam kết sống cuộc sống yên bình sau kỷ nguyên chiến tranh, nhưng hiện đang quay trở lại chiến đấu để chiến đấu với một kẻ thù mới phát sinh trong một phiên bản thay thế của Thời đại Meiji, ba trăm năm sau Trận Sekigahara.",0.65,chưa rõ,22401,Phim đang chiếu,"['Supernatural', 'Fantasy', 'Adventure', 'Historical', 'Martial Arts', 'Action']",Đang cập nhật,Nhật Bản,6,HD,Đang cập nhật,LIDENFILMS,Mùa Thu,2019,Anime bộ
Bầu Trời Đầy Sao,"Câu chuyện tuổi thiếu niên xoay quanh câu chuyện sắp đến tuổi của các cậu bé trong câu lạc bộ quần vợt mềm của một trường trung học cơ sở, đang trên bờ vực đóng cửa. Touma YAMou yêu cầu Maki Katsuragi tham gia vào đội vì khả năng được khoe khoang của mình, và đề cập đến một cuộc thi mùa hè. Katsuragi xin tiền để đổi lấy việc gia nhập đội.(Nguồn: ANN)",0.82,12 tập,68860,Trọn bộ,"['School', 'Slice of Life', 'Sports', 'Drama']",Đang cập nhật,Nhật Bản,88,HD,PG-13 - Teens 13 tuổi trở lên,8bit,Mùa Thu,2019,Anime bộ
Phantasy Star Online 2: Episode Oracle,"Được chuyển thể từ trò chơi cùng tên ""PHANTASY STAR ONLINE 2"". Phim kể về hành trình của một hạm đội vũ trụ, tổ chức ARKS, chuyên săn lùng bọn quái vật Darker khắp dải ngân hà để giữ vững sự yên bình cho khắp vũ trụ.",0.85,25 tập,40462,Phim đang chiếu,"['Sci-Fi', 'Space', 'Action']",Đang cập nhật,Nhật Bản,25,HD,PG-13 - Teens 13 tuổi trở lên,Gonzo,Mùa Thu,2019,Anime bộ
Quái Thú,"Câu chuyện xoay quanh trường học Cherryton – nơi tất cả mọi loài vật đều học tập và sinh sống cùng nhau, bất kể là động vật ăn thịt hay động vật ăn cỏ. Legosi, nhân vật chính của câu chuyện, là một con sói xám với vẻ ngoài to lớn và dữ tợn nên thường bị mọi người hiểu lầm, xa lánh. Sự khác biệt giống loài khiến Legosi trở nên trầm lặng và kín đáo, tuy nhiên, nhiều sự kiện xảy ra xáo trộn cuộc sống hằng ngày đã khiến Legosi dần hoà nhập và mở lòng hơn với mọi người.",0.89,12 tập,222251,Trọn bộ,"['Shounen', 'Slice of Life', 'Psychological', 'Drama']",Đang cập nhật,Nhật Bản,362,HD,Đang cập nhật,Orange,Mùa Thu,2019,Anime bộ
Zenonzard: The Animation,"Anime chuyển thể thành trò chơi ứng dụng Bandai Zenonzard , được coi là Tập 0 của phần Thích ứng. Nó được phát hành trên kênh YouTube Zenonzard vào ngày 10 tháng 9 và được phát sóng trên TV vào ngày 13 tháng 9.",0.85,30 phút,47305,Trọn bộ,['Action'],Đang cập nhật,Nhật Bản,60,HD,PG-13 - Teens 13 tuổi trở lên,8bit,Mùa Hạ,2019,Anime bộ
Z/X: Code Reunion,"Câu chuyện diễn ra vào một tương lai không xa. Năm ""Điểm Đen"" đột nhiên xuất hiện trên khắp thế giới dưới dạng cổng thông tin đến các thế giới song song. Ngay sau đó, những sinh vật lạ bắt đầu cuộc xâm lược của chúng từ những cánh cổng này. Những sinh vật này là cư dân của năm thế giới - cùng một thế giới trong các khung thời gian khác nhau. Để đảm bảo khung thời gian trong tương lai tồn tại, mỗi người trong số năm lực lượng sẽ",0.84,12 tập,56998,Trọn bộ,"['Shounen', 'Sci-Fi', 'School', 'Fantasy']",Đang cập nhật,Nhật Bản,42,HD,PG-13 - Teens 13 tuổi trở lên,Passione,Mùa Thu,2019,Anime bộ
Kandagawa Jet Girls,Dự án tập trung vào những cô gái thi đấu trong các cuộc đua máy bay phản lực,0.8,12 tập,45656,Trọn bộ,['Sports'],Đang cập nhật,Nhật Bản,58,HD,Đang cập nhật,TNK,Mùa Thu,2019,Anime bộ
Kono Oto Tomare! 2nd Season,Phần thứ 2 của Kono Oto Tomare!,0.98,13 tập,240875,Trọn bộ,"['Shounen', 'School', 'Drama', 'Music']",Đang cập nhật,Nhật Bản,329,None,Đang cập nhật,Platinum Vision,Mùa Thu,2019,Anime bộ
Em Gái Hồi Sinh Chị Gái Robot,"Câu chuyện xoay quanh một nhà phát minh thiên tài Null bi thảm mất chị gái Peta trong một tai nạn. Chính ông củng không thể biết được nguyên nhân tại sao và cố gắng để tìm cho một câu lời giải đích đất, nỗi đau mất mát quá nên nên ông đã cố gắng để vượt qua nỗi đau, Null đã phát triển “Peta Robo”, một robot có đặc điểm giống như người chị quá cố của cô. Tuy nhiên, robot có một chút khác biệt so với những gì Null mong đợi.",0.86,12 tập,32659,Trọn bộ,['Sci-Fi'],Ogura Hirofumi,Nhật Bản,29,HD,Đang cập nhật,Shin-Ei Animation,Mùa Thu,2019,Anime bộ
Chuubyou Gekihatsu Boy,"Câu chuyện xoay quanh Mizuki Hijiri, một nữ sinh trung học vừa chuyển trường. Tại ngôi trường mới của mình, cô có một cuộc gặp gỡ định mệnh với những chàng trai mắc chứng chūnibyō (ảo tưởng tuổi mới lớn). Anh chàng Noda mơ ước trở thành anh hùng, Takashima là một otaku đẹp trai bi thảm chỉ thích những cô gái 2D, Nakamura ảo tưởng mình chuyển sinh thành thiên thần hay ác quỷ được và là người tự xưng Tsukumo.",0.88,11 tập,45926,Trọn bộ,"['School', 'Comedy', 'Music']",Ichikawa Kazuya,Nhật Bản,50,HD,Đang cập nhật,Studio Deen,Mùa Thu,2019,Anime bộ
Hataage! Kemono Michi,"Đô vật chuyên nghiệp và là người yêu động vật Genzo Shibata đột nhiên bị triệu hồi đến thế giới khác. Được chào đón bởi công chúa, nàng muốn anh tiêu diệt hết lũ ma thú đang hoành hành ở thế giới này. Cảm thấy xúc phạm khi bị yêu cầu giết động vật, Genzo đã dùng đòn German Suplexes với công chúa. Không thể quay về thế giới cũ, anh quyết định sống một cuộc sống thanh bình và quản lý một cửa hiệu thú cưng ""quái vật"".",0.93,12 tập,250602,Trọn bộ,"['Shounen', 'Comedy', 'Magic']",Đang cập nhật,Nhật Bản,377,HD,Đang cập nhật,ENGI,Mùa Thu,2019,Anime bộ
Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...,"Fumi làm trợ lý tại một salon nổi tiếng trong thành phố và đang hướng tới trở thành thợ làm tóc. Cô nhận được sự hướng dẫn nghiêm ngặt từ Sousuke, người quản lý và làm tóc lôi cuốn của tiệm. Mỗi lần anh chạm vào Fumi, cô lại trở nên kích động. Một ngày sau khi tiệm đóng cửa, Fumi trở thành đối tác thực hành của Sousuke tại trạm gội đầu. Khi anh chạm vào cô và rảy nước cho cô, cô lại nổi giận! Hay là ý nghĩ ... cô thực sự có thể bị anh ta thu hút? Sousuke nở một nụ cười xấu xa khi anh cảm nhận được trái tim của Fumi, và đầu ngón tay anh bắt đầu vuốt ve mọi góc cạnh trên cơ thể cô ... Fumi không thể từ chối ngón tay anh nữa.",0.76,08 tập,186146,Trọn bộ,"['Romance', 'Ecchi']",Noshitani Mitsutaka,Nhật Bản,152,HD,R+ - Dành cho 16 tuổi trở lên,Magic Bus,Mùa Xuân,2020,Anime bộ
Cuộc Sống Hằng Ngày Của Các Chàng Trai,Phim về 4 thành viên của nhóm nhạc Urashimasakatasen có thật ngoài đời nhưng trong dạng chibi.,0.7,chưa rõ,22105,Phim đang chiếu,"['School', 'Slice of Life', 'Comedy']",Đang cập nhật,Nhật Bản,1,HD,PG-13 - Teens 13 tuổi trở lên,Gainax Kyoto,Mùa Thu,2019,Anime bộ
Kabukichou Sherlock,"Tại khu đông thuộc Shinjuku, quận Kabuki-chou rực rỡ ánh đèn nằm ngay trung tâm thành phố hỗn độn. Bên dưới ánh đèn sáng ấy, bóng tối luôn chực chờ hành động. Nhưng, ngay bên dưới bóng tối tội phạm ấy, ánh sáng của căn hộ thám tử vẫn chiếu ra. Căn hộ này thuộc quyền sở hữu của bà Hudson và 7 con người lập dị, mờ ámCâu chuyện bắt đầu vào một đêm, kẻ thủ ác với biệt danh Jack Máy Cưa xuất hiện và giết người...",0.73,24 tập,36098,Trọn bộ,"['Drama', 'Comedy', 'Mystery']",Yoshimura Ai,Nhật Bản,26,HD,Đang cập nhật,Production I.G,Mùa Thu,2019,Anime bộ
Babylon,"Câu chuyện đầy kịch tính này xoay quanh nhân vật có tên là Zen Seizaki, một công tố viên của Văn phòng Công tố viên quận Tokyo. Trong lúc điều tra các hành vi bất hợp pháp của một công ty dược phẩm, Seizaki đã tình cờ phát hiện ra một kế hoạch bầu cử tự trị ""new zone"" được diễn ra ở phía Tây Tokyo.",0.83,12 tập,74870,Trọn bộ,['Thriller'],Đang cập nhật,Nhật Bản,83,HD,Đang cập nhật,Revoroot,Mùa Thu,2019,Anime bộ
Radiant 2nd Season,Phần tiếp theo của Radiant.,0.77,21 tập,188011,Trọn bộ,"['Fantasy', 'Adventure', 'Magic', 'Action']",Đang cập nhật,Nhật Bản,122,HD,PG-13 - Teens 13 tuổi trở lên,Lerche,Mùa Thu,2019,Anime bộ
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!","Khi con gái lớn của gia đình Ascham, Adele, tròn mười tuổi, cô nhớ tất cả mọi thứ từ kiếp trước khi cô bị đau đầu dữ dội. Cô ấy là Kurihara Misato ở kiếp trước, cô ấy đã chết khi cô ấy 18 tuổi cố gắng giúp đỡ một cô bé, do đó, sau đó là một cuộc gặp gỡ với Chúa. Trong cuộc họp của họ, cô đã cầu xin một cuộc sống trung bình với các kỹ năng trung bình. Rốt cuộc, bản thân có khả năng phần nào của cô đã bị gánh nặng với tất cả những kỳ vọng mang đến cho cô. Tuy nhiên, mọi thứ không diễn ra theo đúng kế hoạch vì cô phải cẩn thận không vô tình đứng lên hàng ngũ S nếu cô muốn duy trì cuộc sống trung bình mong muốn của mình.",0.95,12 tập,265437,Trọn bộ,"['Fantasy', 'Comedy']",Oota Masahiko,Nhật Bản,483,HD,Đang cập nhật,Project No.9,Mùa Thu,2019,Anime bộ
Granblue Fantasy The Animation Season 2,Phần thứ 2 của Granblue Fantasy The Animation.,0.83,12 tập,83901,Trọn bộ,"['Fantasy', 'Adventure']",Đang cập nhật,Nhật Bản,51,HD,PG-13 - Teens 13 tuổi trở lên,MAPPA,Mùa Thu,2019,Anime bộ
Val x Love,"Akutsu Takuma, học sinh trung học đã học cách chấp nhận cuộc sống cô đơn của mình và hài lòng với việc học, nhưng khi thần Odin chạm vào anh ta để cứu thế giới cùng với chín Valkyries được thúc đẩy bởi sự thân mật, Takuma có thể nói lời tạm biệt với sự tồn tại đơn độc của mình !(Nguồn: ANN)",0.9,12 tập,510686,Trọn bộ,"['Shounen', 'School', 'Romance', 'Supernatural', 'Harem', 'Ecchi', 'Comedy']",Naoya Takashi,Nhật Bản,957,HD,Đang cập nhật,Hoods Entertainment,Mùa Thu,2019,Anime bộ
Nữ Quân Đội Azur Lane,"Kẻ thù kỳ cục, mạnh mẽ được gọi là Siren đã bất ngờ xuất hiện từ biển. Để chiến đấu chống lại họ, một nhóm quân đội Azure Lane đã thành lập. Họ đã thành công trong việc ngăn chặn cuộc tấn công từ Siren trong một khoảnh khắc bằng cách sử dụng tàu chiến, những lý tưởng khác nhau từ những người hình thành nên nó đã thể hiện. Câu chuyện kể về những cô gái chiến đấu với những kẻ thù mạnh mẽ mà họ không bao giờ phải đối mặt trong khi đối phó với những rắc rối ở mỗi trại.(Nguồn: Tin tức MAL)",0.96,13 tập,223575,Trọn bộ,"['Historical', 'Military', 'Action']",Tanaka Motoki,Nhật Bản,307,HD,PG-13 - Teens 13 tuổi trở lên,Bibury Animation Studios,Mùa Thu,2019,Anime bộ
Ore wo Suki nano wa Omae dake ka yo,"Kisaragi Amatsuyu được mời ra ngoài một mình bởi người đẹp thượng lưu Cosmos và người bạn thời thơ ấu của anh ta, Himawari. Mong đợi được nghe những lời thú nhận của họ, anh ta đắc thắng lần lượt đi gặp từng người trong số họ. Nhưng cả Cosmos và Himawari đều thú nhận với Amatsuyu rằng họ thích bạn mình. Amatsuyu chiến đấu với trận chiến cô đơn này, nhưng có một cô gái khác đang nhìn anh. Cô là một cô gái ảm đạm với kính và bím tóc. Amatsuyu thấy rằng anh ghét cô, bởi vì cô luôn luôn chỉ lưỡi sắc bén với anh và tìm thấy sự thích thú trong những rắc rối của anh. Nhưng hóa ra cô ấy là người duy nhất thực sự thích anh ấy.(Nguồn: ANN)",0.93,12 tập,1018570,Trọn bộ,"['School', 'Romance', 'Comedy']",Akitaya Noriaki,Nhật Bản,1858,HD,PG-13 - Teens 13 tuổi trở lên,"Barnum Studio, Connect",Mùa Thu,2019,Anime bộ
Hentatsu (TV),"Hentatsu theo chân hai cô gái khám phá một phiên bản dường như bị bỏ rơi của Nakano Broadway, một trung tâm mua sắm ở Tokyo nổi tiếng với Mandarake và các cửa hàng khác phục vụ cho người hâm mộ anime và các hình thức văn hóa đại chúng khác.",0.55,12 tập,12674,Trọn bộ,"['Adventure', 'Mystery']",Đang cập nhật,Nhật Bản,0,HD,G - Mọi lứa tuổi,Yaoyorozu,Mùa Đông,2020,Anime bộ
Cardfight!! Vanguard: Shinemon-hen,"Đây là câu chuyện về ""Shinemon Nitta"", người quản lý tương lai của Card Capital.10 năm trước khi Aichi Sendou và Toshiki Kai tái hợp, cửa hàng bán thẻ của gia đình Tokura ""Card Capital"" đã ngừng hoạt động. Sau đó là nỗ lực tiếp quản cửa hàng của Esuka Hibino, chủ một cửa hàng thẻ lớn.Để bảo vệ Thủ đô Thẻ bài, Shinemon Nitta đã đứng lên làm ""Người quản lý tự xưng!""",0.55,31 tập,16136,Trọn bộ,"['Shounen', 'Game', 'Action']",Đang cập nhật,Nhật Bản,0,HD,PG-13 - Teens 13 tuổi trở lên,OLM,Mùa Đông,2019,Anime bộ
Yatogame-chan Kansatsu Nikki Nisatsume,Mùa hai của Yatogame-chan Kansatsu Nikki. ,0.7,12 tập,18745,Trọn bộ,"['Shounen', 'School', 'Slice of Life', 'Comedy']",Đang cập nhật,Nhật Bản,1,HD,PG-13 - Teens 13 tuổi trở lên,"Creators in Pack, Saetta",Mùa Đông,2020,Anime bộ
Uchi Tama?! Uchi no Tama Shirimasen ka?,"Tại một thành phố ở đâu đó ở Nhật Bản, có một tờ rơi thường thấy trên Phố Thứ Ba với hình ảnh một con mèo với chiếc đuôi gấp khúc, có dòng chữ: ""Bạn đã thấy Tama chưa?"" Một cậu bé nhìn chằm chằm vào tờ rơi, nhưng cậu ấy có một đôi tai mềm mại trên đầu… !? Xem những chú chó và mèo từ Phố Thứ Ba mang hình dáng con người và có những trò nghịch ngợm.(Nguồn: Trang chính thức)",0.7,11 tập,20488,Trọn bộ,['Slice of Life'],Matsuda Kiyoshi,Nhật Bản,11,HD,PG-13 - Teens 13 tuổi trở lên,"MAPPA, Lapin Track",Mùa Đông,2020,Anime bộ
ARP Backstage Pass,"ARP: Một nhóm nhảy và giọng hát gồm 4 thành viên được tạo ra bởi công nghệ AR mới nhất. Nhóm nhạc nổi tiếng này đã bắt đầu với Avex, và là duy nhất cho các buổi hòa nhạc tương tác của họ, kết hợp các bài hát và thói quen nhảy có kỹ năng cao với định dạng thay đổi dựa trên mức độ cổ vũ của người hâm mộ.",0.35,10 tập,17973,Trọn bộ,['Music'],Đang cập nhật,Nhật Bản,13,HD,PG-13 - Teens 13 tuổi trở lên,Dynamo Pictures,Mùa Đông,2020,Anime bộ
number24,"Natsuza Yuzuki đã chơi bóng bầu dục như một cầu thủ chạy cánh trái kể từ khi còn là một đứa trẻ. Sau khi đăng ký vào Đại học Doushisha, anh nhanh chóng trở thành một ngôi sao đang lên trong Giải đấu Đại học Kansai.Tuy nhiên, ước mơ của anh đã tan vỡ khi một tai nạn xe máy tồi tệ khiến anh bị thoát vị cột sống - khiến anh không thể chơi bóng bầu dục được nữa. Không có vai trò nào khác ngoài vị trí quản lý, anh ấy chấp nhận vị trí mới của mình và hy vọng đội của anh ấy có thể giành được chức vô địch.Đội của Yuzuki là một nhóm không có khả năng xảy ra, bao gồm người bạn thân khắc kỷ của anh ấy và hậu vệ cánh Seiichirou Jingyouji; Yasunari Tsuru năm nhất nóng tính, người có ác cảm với Natsuza, lấp đầy vị trí cũ của tiền bối là cánh trái; và Yuu Mashiro, người đang đấu tranh để giữ vững lập trường của mình với tư cách là một nửa scrum.Mặc dù Natsuza đã nỗ lực hết mình để huấn luyện đội của mình giành chức vô địch, đội của họ vẫn cảm thấy chưa hoàn thiện. Một năm trước, Ibuki Ueka, thiên tài bay nửa người từng là át chủ bài của Doushisha, đột nhiên từ bỏ môn bóng bầu dục — và giờ Natsuza quyết tâm đưa anh ta trở lại.",0.96,12 tập,76111,Phim đang chiếu,"['School', 'Sports']",Sakamoto Yoshiki,Nhật Bản,137,HD,PG-13 - Teens 13 tuổi trở lên,PRA,Mùa Đông,2020,Anime bộ
BanG Dream! 3rd Season,"Khi ban nhạc toàn nữ Poppin’Party tiếp tục nổi tiếng, họ đã tìm thấy một tấm áp phích cho một sự kiện tại Nippon Budoukan huyền thoại. Giờ đây, đã quyết tâm tham gia vào “BanG Dream”, Kasumi Toyama và các thành viên khác của Poppin’Party đặt mục tiêu vươn tới những tầm cao mới và chứng minh giá trị của mình bằng cách biểu diễn trên sân khấu nổi tiếng đó.Trong khi đó, ban nhạc đối thủ RAISE A SUILEN mơ ước thay đổi thế giới bằng ""âm nhạc mạnh nhất"", nhưng lại gặp khó khăn nghiêm trọng khi không có nghệ sĩ guitar. Mặc dù hàng chục ứng viên tiềm năng đang thử vai, trưởng ban nhạc CHU² tin rằng họ là những người nghiệp dư và không phù hợp với ban nhạc. Tuy nhiên, có thể có một nghệ sĩ guitar đáp ứng các tiêu chuẩn cao của CHU².BanG Dream! Phần thứ 3 có sự góp mặt của nhiều ban nhạc nữ, bao gồm Poppin’Party, Afterglow, Pastel * Palettes, Roselia, Hello Happy World !, và bây giờ là RAISE A SUILEN, khi họ làm việc để làm kinh ngạc người hâm mộ trên khắp Nhật Bản với những màn trình diễn ngoạn mục của họ. Khi cuộc thi BanG Dream sắp đến gần, các thành viên của ban nhạc đã chuẩn bị sẵn sàng để thu hút khán giả bằng âm nhạc chân thành của họ!",0.91,13 tập,25412,Trọn bộ,['Music'],Kakimoto Koudai,Nhật Bản,11,HD,PG-13 - Teens 13 tuổi trở lên,SANZIGEN,Mùa Đông,2020,Anime bộ
Code Geass: Hangyaku no Lelouch I - Koudou,"Đế chế Holy Britannian là một quốc gia hùng mạnh sử dụng sức mạnh quân sự để mở rộng quyền cai trị, và đảo quốc nhỏ bé Nhật Bản lại là một nạn nhân khác. Trong một cuộc xung đột toàn thế giới vào năm 2010 được gọi là Chiến tranh Thái Bình Dương lần thứ hai, đất nước từng được coi là niềm tự hào đã bị biến thành đống đổ nát và được đổi tên thành Khu vực 11 một cách chế giễu.Tuy nhiên, một sinh viên có kế hoạch giải phóng Nhật Bản khỏi sự kiểm soát của Britannia thông qua một cuộc nổi loạn bất thường. Tên anh ta là Lelouch Lamperouge, và anh ta mang trong mình lòng căm thù đối với Đế quốc, âm mưu xóa sổ cái tên đáng nguyền rủa của nó khỏi mặt hành tinh. Kế hoạch thâm độc của Lelouch được đẩy nhanh một cách bất ngờ khi gặp người phụ nữ bí ẩn C.C., người đã ban cho anh một khả năng siêu nhiên được gọi là ""Geass"" khiến bất cứ ai mà Lelouch ra lệnh đều không thể làm trái ý anh.Giờ đây, được trang bị sức mạnh tàn khốc, Lelouch đảm nhận vai trò của Zero, một nhân vật cách mạng mang hy vọng và ước mơ của những người bị áp bức trên khắp thế giới. Anh thề sẽ khôi phục lại đất nước Nhật Bản huy hoàng và trả quả báo thần thánh cho Britannia.",0.87,135 phút,127093,Trọn bộ,"['Sci-Fi', 'School', 'Super Power', 'Military', 'Mecha', 'Action']",Đang cập nhật,Nhật Bản,58,HD,R+ - Dành cho 16 tuổi trở lên,Sunrise,Mùa Thu,2017,Anime bộ
Oda Cinnamon Nobunaga,"Trong bộ phim hài ""một-of-a-loại-samurai-tướng-tái-sinh-làm-răng-nanh,"" Nobunaga đã chết ở Honnouji như trong lịch sử, và tái sinh ở Nhật Bản ngày nay với tư cách là một con chó tên là Shinamon. Các lãnh chúa thời Chiến quốc khác như Takeda Shingen cuối cùng cũng tham gia với anh ta, cũng như những con chó.",0.51,12 tập,21815,Trọn bộ,"['Seinen', 'Slice of Life', 'Comedy', 'Historical']",Takahashi Hidetoshi,Nhật Bản,4,HD,PG-13 - Teens 13 tuổi trở lên,Studio Signpost,Mùa Đông,2020,Anime bộ
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,"Isabella, con gái của gia đình quý tộc York, được ghi danh vào một học viện dành cho nữ sinh để được chuẩn bị trở thành một dame xứng đáng với giới quý tộc. Tuy nhiên, cô đã từ bỏ tương lai của mình, coi ngôi trường danh giá không khác gì một nhà tù từ thế giới bên ngoài. Gia đình cô nhận thấy cô đang gặp khó khăn trong bài học và quyết định thuê Violet Evergarden để đích thân dạy dỗ cô dưới vỏ bọc của một người hầu gái.Lúc đầu, Isabella đối xử lạnh nhạt với Violet. Violet dường như có thể làm mọi thứ một cách hoàn hảo, khiến Isabella cho rằng cô được sinh ra với chiếc thìa bạc. Sau một thời gian bên nhau, Isabella bắt đầu nhận ra rằng Violet đã có những khó khăn của riêng mình và bắt đầu mở lòng với cô ấy. Isabella sớm tiết lộ rằng cô đã mất liên lạc với người em gái yêu quý của mình, Taylor Bartlett, người mà cô mong muốn được gặp lại.Sau khi trải nghiệm sức mạnh của lời nói thông qua khách hàng trong quá khứ của mình, Violet hỏi Isabella có muốn viết thư cho Taylor không. Liệu Violet có thể giúp Isabella truyền tải tình cảm của mình cho người chị đã mất từ ​​lâu?",0.98,91 phút,178722,Trọn bộ,"['Slice of Life', 'Fantasy', 'Drama']",Ishidate Taichi,Nhật Bản,167,HD,PG-13 - Teens 13 tuổi trở lên,Kyoto Animation,Mùa Thu,2019,Anime bộ
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,"Tập phim anime gốc sẽ là chương cuối cùng của bộ phim truyền hình, tập trung vào sự cạnh tranh giữa ""nhân vật nền"" Amatsuyu Kisaragi (Jouro) và Yasuo Hazuki (Hose), ""nhân vật chính"".",0.96,70 phút,184437,Trọn bộ,"['School', 'Romance', 'Comedy']",Đang cập nhật,Nhật Bản,306,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,Mùa Thu,2020,Anime bộ
Kamen Rider Zero-One,"Xã hội Nhật Bản đã bước qua thời kì mới ứng dụng trí thông minh nhân tạo (AI) vào đời sống. Đặc biệt là thế hệ robo AI tên gọi Humagia, do tập đoàn công nghệ AI, Hiden Inteligence, phát triển. Tuy nhiên, có một tổ chức khủng bố không muốn AI Robo phục vụ xã hội loài người tốt hơn nên đã hack vào hệ thống Humagia hòng tiêu diệt nhân loại. Tổ chức đó gọi là ""Metsuboujinrai.net"" Chính phủ Nhật Bản đã thành lập cơ quan đặc biệt chống AI gọi tắt là A.I.M.S, có nhiệm vụ săn lùng các AI robốt Humagia đã bị hack và duy trì an ninh. Hiden Aruto, một chàng trai có mơ ước trở thành diễn viên hài, mặc dù nghề này đã bị thay thế bởi AI robo. Một ngày kia ông nội của Hiden, nhà sáng lập kiêm chủ tịch Hiden Inteligence qua đời. Aruto được chỉ định làm tân chủ tịch của Hiden Inteligence. Aruto không hứng thú với chức chủ tịch tập đoàn lớn, nhưng tận mắt chứng kiến tình cảnh thảm thương của Humagia do Metsuboujinra.net hack nên cậu quyết định nhậm chức và sử dụng Zero-One Driver, henshin thành Kamen Rider Zero-One! Aruto chính thức bước vào trận chiến vì các AI robo. Không chỉ chống lại Metsuboujinrai.net và còn cả A.I.M.S vốn không mấy thân thiện với AI.",0.89,45 tập,992832,Trọn bộ,['Tokusatsu'],Đang cập nhật,Nhật Bản,1611,HD,Đang cập nhật,Đang cập nhật,,,Anime bộ
Thịnh Thế Trang Nương,"Tư Nghiêm một chuyên viên hướng dẫn trang điểm nổi tiếng trên mạng xã hội, trong một buổi quay trực ngoài trời cô nàng vô tình bị tai nạn xe và xuyên về cổ đại. Xuyên qua cổ đại với bàn tay vàng là hệ thống trang điểm cao cấp, với nhiệm vụ đầu tiên là nhập cung làm nữ quan trang điểm cho các phi tần. Mỗi ngày điều bị kéo vào cuộc tranh sủng của quý phi và hoàng hậu, cuộc sống của Tư Nghiên rồi sẽ ra sao?(Bộ này cho con gái =)) Main nữ cua trai khét lẹt)",0.72,20 tập,43495,Trọn bộ,"['Shoujo', 'Romance', 'Game', 'Drama', 'Historical']",Đang cập nhật,Nhật Bản,29,HD,PG-13 - Teens 13 tuổi trở lên,Imagineer,Mùa Xuân,2018,Anime bộ
